Process;code_text;geo_prev_filter;coords;no_coords;distr_env;dup_position;dup_time;dup_recorder;download_tax;taxonomic_db;prev_tax;query_tax;bor;temp;temp_level;temp_range
Download all records from higher taxonomic level;library(rgbif);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;gbif_taxKeys <- name_backbone_checklist('familyName1')%>% filter(!matchType == 'NONE') %>% pull(usageKey);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;occ_download(pred_in('taxonKey', gbif_taxKeys),format = 'SIMPLE_CSV', user = 'xxx', pwd = 'xxx',email = 'xxx');0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;"occ_download_wait('xxxxxxx-xxxxxxx'); occData <- occ_download_get('xxxxxxx-xxxxxxx') %>% occ_download_import()";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Create a list of species (accepted names and synonyms) from previous taxonomical knowledge and query databases.;library(rgbif);0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;spList <- c('spname1', 'spname2', 'spnameN');0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;gbif_taxKeys <- name_backbone_checklist(spList)%>% filter(!matchType == 'NONE') %>% pull(usageKey);0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;occ_download(pred_in('taxonKey', gbif_taxKeys),format = 'SIMPLE_CSV', user = 'xxx', pwd = 'xxx',email = 'xxx');0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;"occ_download_wait('xxxxxxx-xxxxxxx'); occData <- occ_download_get('xxxxxxx-xxxxxxx') %>% occ_download_import()";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Does the scientific name have authorship information?;"library(dplyr); library(stringr)";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;data$authorshipName <- word(data$scientificName, 3, -1);0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;data <- data %>% filter(!is.na(authorshipName));0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Is the record identified at a proper taxonomic rank?;library(dplyr);0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;data <- data %>% filter(taxonRank >= XXXX | taxonRank <= XXXX );0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Type of matching exact;;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
Type of matching fuzzy;;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
Taxon. Coverage specific;;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
Taxon. Coverage general;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
Only records without known coordinate issues;library(rgbif);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;occ_download(pred('hasGeospatialIssue', FALSE), format = 'SIMPLE_CSV', user = 'xxx', pwd = 'xxx',email = 'xxx');1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;"occ_download_wait('xxxxxxx-xxxxxxx'); occData <- occ_download_get('xxxxxxx-xxxxxxx') %>% occ_download_import()";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Only records with coordinates filtered by spatial extent (area or administrative units);library(rgbif);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;occ_download(pred_within('POLYGON((-180 -90, 180 -90, 180 -60, -180 -60,-180 -90))'), pred_in('occurrenceStatus','PRESENT'),format = 'SIMPLE_CSV', user = 'xxx', pwd = 'xxx',email = 'xxx');2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;occ_download(pred('country', 'ES'), format = 'SIMPLE_CSV', user = 'xxx', pwd = 'xxx',email = 'xxx');2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;"occ_download_wait('xxxxxxx-xxxxxxx'); occData <- occ_download_get('xxxxxxx-xxxxxxx') %>% occ_download_import()";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Only records with coordinates;library(rgbif);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;occ_download(pred_in('taxonKey', 'speciesName1'), pred('hasCoordinate', TRUE),format = 'SIMPLE_CSV', user = 'xxx', pwd = 'xxx',email = 'xxx');3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;"occ_download_wait('xxxxxxx-xxxxxxx'); occData <- occ_download_get('xxxxxxx-xxxxxxx') %>% occ_download_import()";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Filter and discard records which precision value is ;library(dplyr);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;data <- data %>% filter(!is.na(coordinatePrecision));0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Use number of decimal digits of coordinates ;library(bdc);0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;bdc_coordinates_precision(data = data, lat ='decimalLatitude', lon = 'decimalLongitude', ndec = 1) # Filter coordinates with at least 1 decimal place;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2.Check coordinates value and do not validate records if any of these conditions are true.;library(dplyr);0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;data <- data %>% filter(decimalLatitude!=decimalLongitude);0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;library(dplyr);0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
